num X1 X2 X3 X4 X5 X6 X7 Y
145688 41 41 1.0 0 0.0 0 0.0 1 
148962 17 17 1.0 0 0.0 0 0.0 1 
252046 13 9 0.6923 0 0.0 0 0.0 1 
306689 35 33 0.9429000000000001 0 0.0 0 0.0 -1 
323005 14 14 1.0 0 0.0 0 0.0 1 
376681 16 16 1.0 0 0.0 0 0.0 1 
383588 11 11 1.0 0 0.0 0 0.0 1 
394479 14 14 1.0 0 0.0 0 0.0 1 
437562 14 14 1.0 0 0.0 0 0.0 1 
498118 16 15 0.9375 0 0.0 0 0.0 1 
585083 11 4 0.36360000000000003 0 0.0 0 0.0 1 
877740 11 9 0.8182 0 0.0 0 0.0 -1 
900699 61 0 0.0 0 0.0 0 0.0 1 
901183 15 14 0.9333 0 0.0 0 0.0 1 
903989 27 0 0.0 0 0.0 0 0.0 1 
905889 36 36 1.0 0 0.0 0 0.0 1 
1257825 16 16 1.0 0 0.0 0 0.0 1 
1513116 13 10 0.7692 0 0.0 0 0.0 1 
1697298 15 11 0.7333000000000001 0 0.0 0 0.0 1 
1899090 24 24 1.0 0 0.0 0 0.0 1 
1900108 12 8 0.6667000000000001 0 0.0 0 0.0 1 
1937416 114 29 0.2544 0 0.0 0 0.0 1 
1964681 17 10 0.5882000000000001 0 0.0 0 0.0 1 
1991132 160 94 0.5875 0 0.0 0 0.0 1 
2001020 57 57 1.0 0 0.0 0 0.0 1 
2187685 31 0 0.0 0 0.0 0 0.0 1 
2191717 49 49 1.0 0 0.0 0 0.0 1 
2205986 12 12 1.0 0 0.0 0 0.0 1 
2360692 12 12 1.0 0 0.0 0 0.0 1 
2536343 14 13 0.9286 0 0.0 0 0.0 1 
2764067 12 12 1.0 0 0.0 0 0.0 1 
2784730 13 13 1.0 0 0.0 0 0.0 1 
2865516 17 17 1.0 0 0.0 0 0.0 1 
2888210 26 19 0.7308 0 0.0 0 0.0 1 
2928525 18 16 0.8889 0 0.0 0 0.0 1 
3065201 12 10 0.8333 0 0.0 0 0.0 1 
3267196 28 27 0.9643 0 0.0 0 0.0 1 
3446670 65 61 0.9385 0 0.0 0 0.0 1 
3597477 11 6 0.5455 0 0.0 0 0.0 1 
3631250 55 51 0.9273 0 0.0 0 0.0 -1 
3720519 17 1 0.058800000000000005 0 0.0 0 0.0 1 
3755434 12 10 0.8333 0 0.0 0 0.0 1 
3831516 52 52 1.0 0 0.0 0 0.0 1 
3924323 27 27 1.0 0 0.0 0 0.0 -1 
3935881 20 20 1.0 0 0.0 0 0.0 1 
3979869 21 19 0.9048 0 0.0 0 0.0 1 
4052209 76 74 0.9737 0 0.0 0 0.0 -1 
4170910 11 10 0.9091 0 0.0 0 0.0 1 
4173974 15 15 1.0 0 0.0 0 0.0 1 
4190673 46 46 1.0 0 0.0 0 0.0 -1 
4226476 11 11 1.0 0 0.0 0 0.0 1 
4267757 12 12 1.0 0 0.0 0 0.0 1 
4440099 17 9 0.5294 0 0.0 0 0.0 1 
4582481 14 13 0.9286 0 0.0 0 0.0 1 
4583701 13 8 0.6154000000000001 0 0.0 0 0.0 1 
4584224 27 9 0.33330000000000004 0 0.0 0 0.0 1 
4585307 44 39 0.8864000000000001 0 0.0 0 0.0 1 
4596765 13 12 0.9231 0 0.0 0 0.0 1 
4597915 27 25 0.9259000000000001 0 0.0 0 0.0 1 
4601578 12 11 0.9167000000000001 0 0.0 0 0.0 1 
4604429 137 134 0.9781000000000001 0 0.0 0 0.0 1 
4608062 101 99 0.9802000000000001 0 0.0 0 0.0 1 
4613330 28 24 0.8571000000000001 0 0.0 0 0.0 1 
4614400 13 13 1.0 0 0.0 0 0.0 1 
4615151 27 27 1.0 0 0.0 0 0.0 1 
4615802 11 7 0.6364 0 0.0 0 0.0 1 
4619462 49 41 0.8367 0 0.0 0 0.0 1 
4619465 12 7 0.5833 0 0.0 0 0.0 1 
4619633 11 8 0.7273000000000001 0 0.0 0 0.0 1 
4619965 34 28 0.8235 0 0.0 0 0.0 1 
